question_en,question_ne,response_en,response_ne,intent
How can I improve my mood during my period?,Mero period ma mood kasari improve garna sakchu?,"To improve mood during periods, try engaging in activities you enjoy, like watching movies, listening to music, or journaling. Exercise and a balanced diet can also help regulate mood swings.","Mann parne kaam garne, jasto ki movie herne, music sunne, ya diary lekhne le mood improve garna sakcha. Exercise garne ra healthy diet khane le pani madat garcha.",mentalhealth_intent
Can sleep help with period-related anxiety?,Nidra le period ko anxiety kam garna sakcha?,"Yes, getting enough sleep is essential for managing period-related anxiety. Try maintaining a regular sleep schedule and avoiding screens before bed to improve sleep quality.","Ho, ramro nidra linu le period ko anxiety kam garna sakcha. Regular sleep schedule banaune ra sutna agadi mobile ya laptop nachalune le sleep quality improve huncha.",mentalhealth_intent
Why do I feel more emotional during my period?,Period ko bela ma dherai emotional feel garchu kina?,"Hormonal changes, especially fluctuations in estrogen and progesterone, can make you feel more emotional during your period. Practicing mindfulness, deep breathing, and self-care can help manage emotions.","Hormonal changes le estrogen ra progesterone level tala mathi huncha, jasle emotional feel garna sakcha. Mindfulness, deep breathing, ra self-care garne le madat garcha",mentalhealth_intent
How can I manage PMS symptoms better?,PMS symptoms kasari control garna sakchu?,"To manage PMS symptoms, focus on a balanced diet, regular exercise, and hydration. Reducing caffeine and sugar intake can also help in controlling mood swings and bloating.","PMS symptoms control garna healthy diet khane, exercise garne, ra dherai pani khane. Caffeine ra sugar kam khane le mood swings ra bloating kam huncha.",mentalhealth_intent
Do breathing exercises help with period pain and anxiety?,Breathing exercises le period ko dukhai ra anxiety kam garna sakcha?," Yes, deep breathing exercises can help reduce period pain and anxiety by relaxing muscles and lowering stress levels. Try slow, deep breaths in a quiet space for relaxation.","Ho, deep breathing exercises le muscles relax garne ra stress level kam garna madat garcha. Shant thau ma basera bistaarai saas pherne exercise garna saknuhuncha.",mentalhealth_intent
Why do I feel depressed before my periods?,Mero period aunu agadi depression jasto feel huncha. Kina hola?,"Premenstrual depression is caused by hormonal fluctuations, especially a drop in estrogen and serotonin. Regular exercise, proper sleep, and a healthy diet can help improve mood. If it feels severe, consider talking to a doctor.","Period aunu agadi estrogen ra serotonin level ghatne bhayera depression feel hunu sakcha. Regular exercise, ramro nidra, ra healthy diet le mood improve garna sakcha. Dherai severe bhaye doctor sanga consult garne ramro huncha.",mentalhealth_intent
"What is PMDD, and how is it different from PMS?",PMDD vaneko ke ho? PMS sanga kasari farak cha?,"PMDD (Premenstrual Dysphoric Disorder) is a severe form of PMS, causing extreme mood swings, depression, and anxiety before periods. If your symptoms are intense and interfere with daily life, seek medical help.","PMDD (Premenstrual Dysphoric Disorder) PMS ko ekdam severe form ho, jasle extreme mood swings, depression, ra anxiety banauna sakcha. Symptoms dherai intense bhaye, doctor sanga consult garne ramro huncha.",mentalhealth_intent
Can my period make me feel emotionally exhausted?,Mero period le malai emotionally exhausted banauna sakcha?,"Yes, hormonal fluctuations, low iron levels, and sleep disturbances can lead to emotional exhaustion during your period. Rest, hydration, and iron-rich foods can help.","Ho, hormonal changes, iron level ghatne, ra ramro nidra na huda emotional exhaustion feel huncha. Ramro rest linu, dherai pani khanu, ra iron-rich food khanu madat garcha.",mentalhealth_intent
I feel bloated?,ma bloated feel garchu?,"Yes, bloating during periods is common due to water retention and hormonal shifts. Wear comfortable clothes, drink more water, and avoid salty foods to reduce bloating.","Ho, hormonal changes le paani body ma jamcha, jasle bloating feel huncha. Ramro comfortable luga lagaune, dherai pani khane, ra salty food kam khane le bloating kam huncha.",mentalhealth_intent
I feel bloated and unattractive during my period. Is this normal?,Mero period ma dherai bloated ra unattractive feel huncha. Yo normal ho?,"Yes, bloating during periods is common due to water retention and hormonal shifts. Wear comfortable clothes, drink more water, and avoid salty foods to reduce bloating.","Ho, hormonal changes le paani body ma jamcha, jasle bloating feel huncha. Ramro comfortable luga lagaune, dherai pani khane, ra salty food kam khane le bloating kam huncha.",mentalhealth_intent
Why is my weight increasing,Ma kina motaira chu?,Temporary weight gain during periods happens due to water retention and bloating. It is normal and will go away after your cycle ends. Staying hydrated and eating less processed food can help.," Period ma temporary weight gain hunu normal ho, water retention ra bloating ko karan le. Cycle sakisakepachi weight normal huncha. Dherai pani khane ra processed food kam khane madat garcha.",mentalhealth_intent
Why do I gain weight during my period?,Mero period ma weight kina badcha?,Temporary weight gain during periods happens due to water retention and bloating. It is normal and will go away after your cycle ends. Staying hydrated and eating less processed food can help.," Period ma temporary weight gain hunu normal ho, water retention ra bloating ko karan le. Cycle sakisakepachi weight normal huncha. Dherai pani khane ra processed food kam khane madat garcha.",mentalhealth_intent
I don’t feel confident with my body during my period. What can I do?,Malai mero body ma confident feel hudaina period ko bela. Ma k garna sakchu?," It's normal to feel self-conscious during your period. Wearing comfy clothes, engaging in self-care, and practicing positive self-talk can boost confidence. Your body is amazing and doing its job!","Period ma self-conscious feel hunu normal ho. Comfortable luga lagaune, self-care garne, ra positive thinking rakhne le confidence badhauna sakcha. Timro body dherai amazing cha!",mentalhealth_intent
Can meditation help with period stress?,Meditation le period stress kam garcha?,"Yes! Meditation can reduce stress, ease cramps, and improve mood by calming the nervous system. Even 5-10 minutes a day can make a difference.","Ho! Meditation le stress kam garna, cramps light banauna, ra mood improve garna sakcha. Din ko 5-10 minutes jasto meditation garna le farak parcha.",mentalhealth_intent
What are some good relaxation techniques for period pain?,Period pain kam garna ko lagi k k relaxation techniques cha?," Try deep breathing, gentle yoga, warm baths, and drinking herbal tea. Applying heat to the lower abdomen also helps with cramps.","Deep breathing, gentle yoga, warm bath, ra herbal tea piune le madat garcha. Lower abdomen ma warm compress lagaunda cramps kam huncha.",mentalhealth_intent
How can I practice self-care when I feel low during my period?,"Mero period ma dherai low feel huncha, kasari self-care garna sakchu?","Self-care can be simple—light a candle, read a book, journal your thoughts, or listen to soothing music. Taking a warm shower and wearing comfy clothes can also help.","Self-care simple hunu sakcha jastai candles balne, kitab padne, diary lekhne, ya soothing music sunne. Warm shower linu ra comfortable luga lagaune le pani ramro feel huncha.",mentalhealth_intent
Why do I feel trouble sleeping during period?,Period ko bela malai sutna garo kina huncha?,"Hormonal changes before your period, especially a drop in progesterone, can affect sleep quality. Try maintaining a bedtime routine, avoiding caffeine, and practicing relaxation before sleep.","Period aunu agadi progesterone level ghatne bhayera sleep quality ma asar parna sakcha. Regular bedtime routine banaune, caffeine na piune, ra sutna agadi relaxation techniques apnaunda nidra improve huncha.",mentalhealth_intent
How can I balance my hormones naturally?,Mero hormones lai naturally kasari balance garne?,"A balanced diet, regular exercise, reducing stress, and getting enough sleep help regulate hormones. Avoiding processed foods and drinking plenty of water can also support hormonal balance.","Healthy diet, exercise, stress management, ra ramro nidra le hormones regulate garna madat garcha. Processed food kam garne ra dherai pani piune le pani hormonal balance maintain garna sakcha.",mentalhealth_intent
Why do I feel extremely tired during my period?,Mero period ma malai dherai thakai lagcha. Kina hola?,"Fatigue during periods is due to blood loss, hormonal shifts, and iron deficiency. Eating iron-rich foods, staying hydrated, and getting enough rest can help reduce tiredness."," Period ma fatigue blood loss, hormonal shifts, ra iron deficiency le huncha. Iron-rich food khane, dherai pani piune, ra ramro rest linu le thakai kam huncha",mentalhealth_intent
How do hormones affect my mood during my cycle?,Mero cycle ko bela hormones le mood kasari affect garcha?,"Hormones like estrogen and progesterone fluctuate throughout your cycle, affecting serotonin levels. This can cause mood swings, irritability, or emotional sensitivity. Eating a balanced diet and staying active can help stabilize mood.","Estrogen ra progesterone level tala mathi huda serotonin level ma asar parcha, jasle mood swings, irritability, ya emotional sensitivity banauna sakcha. Healthy diet ra exercise le mood stable rakhna madat garcha.",mentalhealth_intent
Can a woman go swimming during her period?,Period ko samay mahilale swimming garna sakchha?,"Yes, a woman can go swimming during her period. It is safe to swim as long as she uses appropriate menstrual products, like tampons or menstrual cups, to prevent leakage.","Ho, mahilale period ko samay swimming garna sakchha. Yo safe ho, yadi waha le thik menstrual products jastai tampons ya menstrual cups ko upayog garne ho bhane.",social_stigma_inquiry
Why are women told not to touch sacred food during menstruation?,Period ko samay mahilale pavitra khana chhuna sakdainan bhannale?,This belief is based on cultural taboos and has no medical foundation. Women can handle food during menstruation just like anyone else.,Yo dharma sanskritik taboos ko adhar ma ho ra esko kunai medical aadhar chhaina. Period ko samaya ma mahila le khana chhuna sakchhan.,social_stigma_inquiry
Can stress delay my period?,Stress le mero period dhilo banauna sakcha?,"Yes, high stress levels can affect hormone production and delay periods.","Ho, dherai stress le hormone production ma asar garera period dhilo banauna sakcha.",period_question
Is it normal to have clots in period blood?,Period ko ragat ma clot aunu normal ho?,"Small clots are normal, but large or frequent clots may indicate a health issue.","Sana sana clot ta normal ho, tara dherai thulo ya dherai clot aaye doctor lai dekhaune.",period_question
Why do my breasts hurt before my period?,Mero period auna agadi chhati dukhne kina huncha?,Hormonal changes before periods can cause breast tenderness and pain.,Period auna agadi hormonal pariwartan le chhati dukhai badhauna sakcha.,symptom_question
